calc_days,data_well_name_id,total_fluid_bpd
14.583,COOPER 12H,5544
14.583,COOPER 14H,6960
14.625,COOPER 12H,5520
14.625,COOPER 14H,6912
14.667,COOPER 12H,5496
14.667,COOPER 14H,6936
14.708,COOPER 12H,5520
14.708,COOPER 14H,6840
14.750,COOPER 12H,5568
14.750,COOPER 14H,6888
14.792,COOPER 12H,5520
14.792,COOPER 14H,6840
14.833,COOPER 12H,5472
14.833,COOPER 14H,6912
14.875,COOPER 12H,5544
14.875,COOPER 14H,6864
14.917,COOPER 12H,5520
14.917,COOPER 14H,6792
14.958,COOPER 12H,5496
14.958,COOPER 14H,6744
15.000,COOPER 12H,5592
15.000,COOPER 14H,6720
15.042,COOPER 12H,5520
15.042,COOPER 14H,6744
15.083,COOPER 12H,5592
15.083,COOPER 14H,6744
15.125,COOPER 12H,5616
15.125,COOPER 14H,6720
15.167,COOPER 12H,5640
15.167,COOPER 14H,6648
15.208,COOPER 12H,5664
15.208,COOPER 14H,6648
15.250,COOPER 12H,5664
15.250,COOPER 14H,6672
15.292,COOPER 12H,5616
15.292,COOPER 14H,6576
15.333,COOPER 12H,5664
15.333,COOPER 14H,6672
15.375,COOPER 12H,5640
15.375,COOPER 14H,6624
15.417,COOPER 12H,5616
15.417,COOPER 14H,6600
15.458,COOPER 12H,5592
15.458,COOPER 14H,6528
15.500,COOPER 12H,5568
15.500,COOPER 14H,6504
15.542,COOPER 12H,5592
15.542,COOPER 14H,6576
15.583,COOPER 12H,5592
15.583,COOPER 14H,6504
15.625,COOPER 12H,5544
15.625,COOPER 14H,6480
15.667,COOPER 12H,5568
15.667,COOPER 14H,6432
15.708,COOPER 12H,5616
15.708,COOPER 14H,6480
15.750,COOPER 12H,5568
15.750,COOPER 14H,6504
15.792,COOPER 12H,5592
15.792,COOPER 14H,6432
15.833,COOPER 12H,5568
15.833,COOPER 14H,6432
15.875,COOPER 12H,5544
15.875,COOPER 14H,6432
15.917,COOPER 12H,5568
15.917,COOPER 14H,6384
15.958,COOPER 12H,5544
15.958,COOPER 14H,6384
16.000,COOPER 12H,5544
16.000,COOPER 14H,6336
16.042,COOPER 12H,5520
16.042,COOPER 14H,6360
16.083,COOPER 12H,5520
16.083,COOPER 14H,6360
16.125,COOPER 12H,5472
16.125,COOPER 14H,6336
16.167,COOPER 12H,5472
16.167,COOPER 14H,6312
16.208,COOPER 12H,5496
16.208,COOPER 14H,6264
16.250,COOPER 12H,5496
16.250,COOPER 14H,6240
16.292,COOPER 12H,5448
16.292,COOPER 14H,6240
16.333,COOPER 12H,5424
16.333,COOPER 14H,6168
16.375,COOPER 12H,5424
16.375,COOPER 14H,6216
16.417,COOPER 12H,5448
16.417,COOPER 14H,6144
16.458,COOPER 12H,5400
16.458,COOPER 14H,6192
16.500,COOPER 12H,5376
16.500,COOPER 14H,6144
16.542,COOPER 12H,5496
16.542,COOPER 14H,6192
16.583,COOPER 12H,5424
16.583,COOPER 14H,6168
16.625,COOPER 12H,5400
16.625,COOPER 14H,6168
16.667,COOPER 12H,5424
16.667,COOPER 14H,6120
16.708,COOPER 12H,5712
16.708,COOPER 14H,6120
16.750,COOPER 12H,5688
16.750,COOPER 14H,6120
16.792,COOPER 12H,6000
16.792,COOPER 14H,6096
16.833,COOPER 12H,6000
16.833,COOPER 14H,6144
16.875,COOPER 12H,6144
16.875,COOPER 14H,6096
16.917,COOPER 12H,6000
16.917,COOPER 14H,6024
16.958,COOPER 12H,6024
16.958,COOPER 14H,5904
17.000,COOPER 12H,6336
17.000,COOPER 14H,5904
17.042,COOPER 12H,6456
17.042,COOPER 14H,5808
17.083,COOPER 12H,6576
17.083,COOPER 14H,5832
17.125,COOPER 12H,6480
17.125,COOPER 14H,5856
17.167,COOPER 12H,6504
17.167,COOPER 14H,5808
17.208,COOPER 12H,6456
17.208,COOPER 14H,5760
17.250,COOPER 12H,6480
17.250,COOPER 14H,5688
