Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 10:51:04 AM,20.912,1.582,1008.743,100
Example 1h,5/22/2019 10:51:09 AM,20.912,1.558,1008.567,100
Example 1h,5/22/2019 10:51:14 AM,20.912,1.55,1008.583,100
Example 1h,5/22/2019 10:51:19 AM,20.912,1.558,1008.882,100
Example 1h,5/22/2019 10:51:24 AM,20.912,1.559,1008.73,100
Example 1h,5/22/2019 10:51:29 AM,20.912,1.541,1008.488,100
Example 1h,5/22/2019 10:51:34 AM,20.912,1.512,1008.281,100
Example 1h,5/22/2019 10:51:39 AM,20.912,1.481,1008.096,100
Example 1h,5/22/2019 10:51:44 AM,20.912,1.471,1008.337,100
Example 1h,5/22/2019 10:51:49 AM,20.912,1.466,1007.954,100
Example 1h,5/22/2019 10:51:54 AM,20.912,1.429,1008.02,100
Example 1h,5/22/2019 10:51:59 AM,20.912,1.436,1008.141,100
Example 1h,5/22/2019 10:52:04 AM,20.912,1.428,1007.925,100
Example 1h,5/22/2019 10:52:09 AM,20.912,1.424,1007.993,100
Example 1h,5/22/2019 10:52:14 AM,20.912,1.397,1007.691,100
Example 1h,5/22/2019 10:52:19 AM,20.912,1.425,1008.345,100
Example 1h,5/22/2019 10:52:24 AM,20.912,1.46,1008.448,100
Example 1h,5/22/2019 10:52:29 AM,20.912,1.474,1008.512,100
Example 1h,5/22/2019 10:52:34 AM,20.912,1.475,1008.164,100
Example 1h,5/22/2019 10:52:39 AM,20.912,1.465,1008.378,100
Example 1h,5/22/2019 10:52:44 AM,20.912,1.507,1008.895,100
Example 1h,5/22/2019 10:52:49 AM,20.912,1.525,1008.496,100
Example 1h,5/22/2019 10:52:54 AM,20.912,1.546,1009.008,100
Example 1h,5/22/2019 10:52:59 AM,20.912,1.565,1008.81,100
Example 1h,5/22/2019 10:53:04 AM,20.912,1.568,1008.701,100
Example 1h,5/22/2019 10:53:09 AM,20.912,1.55,1008.571,100
Example 1h,5/22/2019 10:53:14 AM,20.912,1.558,1008.894,100
Example 1h,5/22/2019 10:53:19 AM,20.912,1.588,1009.002,100
Example 1h,5/22/2019 10:53:24 AM,20.912,1.568,1008.615,100
Example 1h,5/22/2019 10:53:29 AM,20.912,1.558,1008.876,100
Example 1h,5/22/2019 10:53:34 AM,20.912,1.586,1009.153,100
Example 1h,5/22/2019 10:53:39 AM,20.912,1.589,1008.747,100
Example 1h,5/22/2019 10:53:44 AM,20.912,1.561,1008.433,100
Example 1h,5/22/2019 10:53:49 AM,20.912,1.518,1008.333,100
Example 1h,5/22/2019 10:53:54 AM,20.912,1.482,1007.97,100
Example 1h,5/22/2019 10:53:59 AM,20.912,1.445,1008.101,100
Example 1h,5/22/2019 10:54:04 AM,20.912,1.47,1008.558,100
Example 1h,5/22/2019 10:54:09 AM,20.912,1.518,1008.954,100
Example 1h,5/22/2019 10:54:14 AM,20.912,1.578,1009.291,100
Example 1h,5/22/2019 10:54:19 AM,20.912,1.617,1009.212,100
Example 1h,5/22/2019 10:54:24 AM,20.912,1.624,1009.114,100
Example 1h,5/22/2019 10:54:29 AM,20.912,1.588,1008.511,100
Example 1h,5/22/2019 10:54:34 AM,20.912,1.513,1007.884,100
Example 1h,5/22/2019 10:54:39 AM,20.912,1.444,1007.949,100
Example 1h,5/22/2019 10:54:44 AM,20.912,1.452,1008.294,100
Example 1h,5/22/2019 10:54:49 AM,20.912,1.482,1008.673,100
Example 1h,5/22/2019 10:54:54 AM,20.912,1.495,1008.299,100
Example 1h,5/22/2019 10:54:59 AM,20.912,1.504,1008.771,100
Example 1h,5/22/2019 10:55:04 AM,20.912,1.522,1008.703,100
Example 1h,5/22/2019 10:55:09 AM,20.912,1.526,1008.457,100
Example 1h,5/22/2019 10:55:14 AM,20.912,1.52,1008.691,100
Example 1h,5/22/2019 10:55:19 AM,20.912,1.554,1008.965,100
Example 1h,5/22/2019 10:55:24 AM,20.912,1.562,1008.708,100
Example 1h,5/22/2019 10:55:29 AM,20.912,1.528,1008.474,100
Example 1h,5/22/2019 10:55:34 AM,20.912,1.499,1008.144,100
Example 1h,5/22/2019 10:55:39 AM,20.912,1.477,1008.432,100
Example 1h,5/22/2019 10:55:44 AM,20.912,1.483,1008.38,100
Example 1h,5/22/2019 10:55:49 AM,20.912,1.481,1008.291,100
Example 1h,5/22/2019 10:55:54 AM,20.912,1.481,1008.442,100
Example 1h,5/22/2019 10:55:59 AM,20.912,1.442,1007.781,100
Example 1h,5/22/2019 10:56:04 AM,20.912,1.424,1008.042,100
Example 1h,5/22/2019 10:56:09 AM,20.912,1.455,1008.579,100
Example 1h,5/22/2019 10:56:14 AM,20.912,1.46,1008.05,100
Example 1h,5/22/2019 10:56:19 AM,20.912,1.437,1008.163,100
Example 1h,5/22/2019 10:56:24 AM,20.912,1.449,1008.186,100
Example 1h,5/22/2019 10:56:29 AM,20.912,1.437,1007.878,100
Example 1h,5/22/2019 10:56:34 AM,20.912,1.398,1007.735,100
Example 1h,5/22/2019 10:56:39 AM,20.912,1.431,1008.235,100
Example 1h,5/22/2019 10:56:44 AM,20.912,1.439,1008.233,100
Example 1h,5/22/2019 10:56:49 AM,20.912,1.47,1008.585,100
Example 1h,5/22/2019 10:56:54 AM,20.912,1.521,1008.776,100
Example 1h,5/22/2019 10:56:59 AM,20.912,1.536,1008.776,100
Example 1h,5/22/2019 10:57:04 AM,20.912,1.526,1008.466,100
Example 1h,5/22/2019 10:57:09 AM,20.912,1.516,1008.558,100
Example 1h,5/22/2019 10:57:14 AM,20.912,1.515,1008.439,100
Example 1h,5/22/2019 10:57:19 AM,20.912,1.496,1008.519,100
